TOP,SCORE,ARM_CODART,ART_NOMBRE,PRINCIPIO_ACTIVO,FRACCION_MEDINA,COD_PROD_DIGEMID,NOMBRE_DIGEMID,CONCENT_DIGEMID,IFA_DIGEMID,FRACCION_DIGEMID
1,1.0393,146512.0,DICLOFENACO 50mg x 30 TAB - GEN FAR,DICLOFENACO - TABLETA,30.0,40161,DICLOFENACO,50 mg,DICLOFENACO SODICO,30
2,1.0393,146512.0,DICLOFENACO 50mg x 30 TAB - GEN FAR,DICLOFENACO - TABLETA,30.0,58699,DICLOFENACO,50 mg,DICLOFENACO SODICO,30
3,0.9393,146512.0,DICLOFENACO 50mg x 30 TAB - GEN FAR,DICLOFENACO - TABLETA,30.0,45482,DICLOFENACO,50 mg,DICLOFENACO SODICO,30
1,0.9449,146619.0,DICLOFENACO 75mg x 5 AMP - GEN FAR,DICLOFENACO - AMPOLLA,5.0,40161,DICLOFENACO,50 mg,DICLOFENACO SODICO,30
2,0.9449,146619.0,DICLOFENACO 75mg x 5 AMP - GEN FAR,DICLOFENACO - AMPOLLA,5.0,58699,DICLOFENACO,50 mg,DICLOFENACO SODICO,30
3,0.9258,146619.0,DICLOFENACO 75mg x 5 AMP - GEN FAR,DICLOFENACO - AMPOLLA,5.0,52739,DICLOFENACO,75 mg/ 3 mL,DICLOFENACO SODICO,10
1,1.0778,148091.0,LORATADINA 10mg x 100 TAB - FARMINDUSTRIA,LORATADINA TABLETA,100.0,43372,LORATADINA,10 mg,LORATADINA,100
2,1.0278,148091.0,LORATADINA 10mg x 100 TAB - FARMINDUSTRIA,LORATADINA TABLETA,100.0,43536,LORATADINA,10 mg,LORATADINA,10
3,0.9778,148091.0,LORATADINA 10mg x 100 TAB - FARMINDUSTRIA,LORATADINA TABLETA,100.0,38774,LORATADINA,10 mg,LORATADINA,100
1,1.0818,148312.0,METRONIDAZOL 500mg TAB x 100 - GEN FAR,METRONIDAZOL - TABLETA,100.0,7455,METRONIDAZOL,500 mg,METRONIDAZOL,100
2,1.0818,148312.0,METRONIDAZOL 500mg TAB x 100 - GEN FAR,METRONIDAZOL - TABLETA,100.0,42114,METRONIDAZOL,500 mg,METRONIDAZOL,100
3,1.0818,148312.0,METRONIDAZOL 500mg TAB x 100 - GEN FAR,METRONIDAZOL - TABLETA,100.0,55769,METRONIDAZOL,500 mg,METRONIDAZOL,100
1,0.8108,150256.0,PANTELMIN 500mg x 6 TAB,<NINGUNO>,6.0,60087,PANTELMIN,500 mg,NITAZOXANIDA,6
1,1.0778,161377.0,OMEPRAZOL 20mg x 10 CAP - GEN FAR,OMEPRAZOL CAPSULA,10.0,37114,OMEPRAZOL,20 mg,OMEPRAZOL,10
2,1.0778,161377.0,OMEPRAZOL 20mg x 10 CAP - GEN FAR,OMEPRAZOL CAPSULA,10.0,59424,OMEPRAZOL,20 mg,OMEPRAZOL,10
3,0.9879,161377.0,OMEPRAZOL 20mg x 10 CAP - GEN FAR,OMEPRAZOL CAPSULA,10.0,42948,OMEPRAZOL,40 mg,OMEPRAZOL SODICO,10
1,1.0298,161919.0,SALBUTAMOL 4mg TAB x 100 INDUQUIMICA,SALBUTAMOL TABLETA,100.0,37684,SALBUTAMOL,4 mg,SALBUTAMOL SULFATO,100
2,0.9298,161919.0,SALBUTAMOL 4mg TAB x 100 INDUQUIMICA,SALBUTAMOL TABLETA,100.0,40754,SALBUTAMOL,4 mg,SALBUTAMOL SULFATO,100
3,0.9298,161919.0,SALBUTAMOL 4mg TAB x 100 INDUQUIMICA,SALBUTAMOL TABLETA,100.0,54773,SALBUTAMOL,4 mg,SALBUTAMOL SULFATO,100
1,0.8227,169333.0,QUADRIDERM EXTRA SP CREMA x 10g,BETAMETASONA CREMA,1.0,54085,QUADRIDERM EXTRA,0.05 g + 1 g + 0.1 g,BETAMETASONA DIPROPIONATO + CLOTRIMAZOL + GENTAMICINA SULFATO,1
2,0.8227,169333.0,QUADRIDERM EXTRA SP CREMA x 10g,BETAMETASONA CREMA,1.0,59831,QUADRIDERM EXTRA,0.05 g + 1 g + 0.1 g,BETAMETASONA DIPROPIONATO + CLOTRIMAZOL + GENTAMICINA SULFATO,1
