ARM_CODART,ART_NOMBRE,Cod_Prod,Nom_Prod_DIGEMID,Concent_DIGEMID,Score
2519019.0,SIMVASTATINA 20mg x 10 TAB - GENFAR,40210,SIMVASTATINA,20 mg,0.63
2520384.0,MORASS PLUS 20mg CAJA x 30 TAB,41514,MORASS PLUS 20/12.5,20 mg + 12.5 mg,0.7
2520598.0,CARDIVAS 6.25MG x 30 TAB - SUN PHARMA,53424,CARDIVAS 6.25,6.25 mg,0.62
2520712.0,MIGRA DORIXINA x 50 TAB - MEGALABS,7544,MIGRADORIXINA,,0.68
2521498.0,CLOBENATE 0.05% CREMA x 25gr,59929,CLARIMAX 250,250 mg/ 5 mL,0.63
2525319.0,LIBBERA FEX SUSPENSION x 150ml,56872,LIBBERAFEX® 180,180 mg,0.69
2526647.0,LEVOCERT D GOTAS FRASCO x 15ml,56292,LEVOCERT D NF,5 mg + 120 mg,0.66
2528233.0,EVIGAX 100mg GOTAS x 20ml,47246,EVIGAX 100MG/ML,100 mg/ mL,0.72
2528340.0,DOLOFEN 500mg CAJA x 100 CAP,50508,DOLOFEN 500MG,500 mg,0.63
2529668.0,IRBET T 150mg CAJA x 28 TAB,53369,IRBETT 150,150 mg,0.64
2530391.0,MERIDIAN 10mg x 30 COMP,53206,MERIDIAN,10 mg,0.62
2530612.0,UROMAX FORTE x 100 CAPSULAS,49660,UROMAX FORTE,400 mg + 100 mg,0.72
2530719.0,PENETRO FORTE x 100 gr POTE,54880,PENETRO FORTE,15 g + 10 g,0.75
2531512.0,DEGRALER ODT x 40 COMP - BAGO,53071,DEGRALER ODT,5 mg,0.72
2532840.0,KLARICID GRAN 125 MG x 50 ML,41024,KLARICID 500,500 mg,0.65
2533954.0,DIPHA-SCBIX AL 5% x 60gr CREMA,50572,DIPHA - SCBIX,5 %,0.61
2535112.0,DOLOCORT PLUS 2% GEL TOPICO TBO x 50gr,54491,DOLOCORT PLUS,2 %,0.62
2535326.0,AUGMOX 312.5ml - DROPESAC,53698,AUGMOX 312.5,250 mg + 62.5 mg/ 5 mL,0.77
2536226.0,DERMAZOL PLUS x 10G CREMA - MARKOS,39327,DERMAZOL PLUS,,0.68
2536761.0,DOLFARB (IBUPROFENO) JBE x 60ml,39276,IBUPROFENO,100 mg/ 5 mL,0.61
2537019.0,LITIASIN K 1080mg x 20 TAB,52134,LITIASIN K,1080 mg,0.66
2537126.0,FLUIBRONCOL ORAL 100MG INFANTIL x 30 SOBRES,39887,FLUIBRONCOL ORAL INFANTIL,100 mg/ 1 g,0.84
2538026.0,MEGACILINA B 1200 000 UI INYECTABLE,39911,MEGACILINA ORAL,1 000 000 UI,0.62
2538882.0,REFLEXAN 10mg CAJA x 20 TABLETAS,43449,REFLEXAN 10,10 mg,0.61
2539675.0,SYSTALAN ULTRA SOL.OFTALMICA x 10ml,41704,SYSTALAN ULTRA,,0.68
2542091.0,PASTILLERO,46788,NASTILER,2 g + 0.1 g,0.78
2542198.0,DAYFLU ACTIVE x 100 CAP,54143,DAYFLU ACTIVE,325 mg + 10 mg + 5 mg,0.72
2542740.0,DIOXAFLEX 75mg AMP CAJA x 3 DOSIS,43887,DIOXAFLEX CB PLUS,50 mg + 4 mg,0.62
2542954.0,ATROPINA SULFATO 1mg/1ml AMP - CAJA x 10 - JPS,54350,ATROPINA SULFATO,1 mg/ mL,0.66
2543105.0,DIMENHIDRINATO 50mg TAB. x 100 - QUILAB,40228,DIMENHIDRINATO,50 mg,0.66
2543212.0,PARACETAMOL KIDS GOTAS x 30ml - GEN FAR,60063,PARACETAMOL + CAFEÍNA,500 mg + 65 mg,0.68
2543426.0,DIMENHIDRINATO 50mg/5ml x 100AMP - PHARMAGEN,40228,DIMENHIDRINATO,50 mg,0.61
2544861.0,TUSILEXIL NF JARABE x 120ml,53520,TUSILEXIL NF,15 mg/ 5 mL + 7.5 mg/ 5 mL,0.62
2545333.0,HIOSCINA BUTIL BROMURO 10mgx100 TAB -LABOGEN,41644,HIOSCINA BUTIL BROMURO,10 mg,0.68
2545868.0,ACIDO TRANEXAMICO 1gr x 10ml AMP.-(DIPHAXAMICO),55214,ACIDO TRANEXAMICO,1 g/ 10 mL,0.67
2546019.0,PIODOR-T SP x 5ml - ROSTER,51416,PIODOR-T SP,2 % + 0.5 %,0.71
2546447.0,BICARBONATO DE SODIO x 100gr POT - VARIOS,37166,BICARBONATO DE SODIO,8.4 %,0.68
2549040.0,SILDENAFILO 100mg x 10 TAB - AC FARMA,39175,SILDENAFILO CITRATO,50 mg,0.62
2550298.0,NEUROPRESS CAJA x 48 TABLETAS,48384,DOLO NEUROPRESS FORTE,,0.62
2551312.0,CEPHOPROM 1gr AMPOLLA IM,59539,CEPHOPROM I.M.,1 g,0.77
2552212.0,FLUIBRONCOL ORAL 200mg CAJA x 30 SOBRES,35547,FLUIBRONCOL ORAL,200 mg/ g,0.68
2553647.0,BICARBONATO DE SODIO x 100gr ZIP - PORTUGAL,37166,BICARBONATO DE SODIO,8.4 %,0.66
2555019.0,PLIDOLAN COMPUESTO CAJA x 100 TABLETAS,55646,PLIDAN COMPUESTO FORTE,20 mg + 2500 mg/ 5 mL,0.63
2557782.0,AMPICILINA 1gr x 10 AMP - DANY,40238,AMPICILINA,500 mg,0.63
2559154.0,BRONCOPHAR PLUS JBE x 120ml,44663,BRONCOPHAR PLUS,15 mg + 2 mg + 2 mg/ 5 mL,0.81
2559261.0,CLAVUNIL 12H (AMOX.+AC.CLAV.) x 14 TABS,53853,CLAVUNIL 12H,875 mg + 125 mg,0.63
2559475.0,CLAVUTRIM 500mg/5ml SUSP x 60ml,54559,CLAVUTRIM 500,500 mg/ 5 mL,0.7
2559689.0,HINDS ULTRA HIDRATANTE x 250ml,48089,SALES PARA REHIDRATACION ORAL,20.5 g,0.61
2560847.0,SALES DE REHIDRATACION ORAL x 50SOB - DANY (RE-HYDRAN),42424,SALES DE REHIDRATACION ORAL,2.5 g + 1.5 g + 2.9 g + 13.5 g,0.71
2561319.0,DAFLON 500mg x 30COMP,47013,DAFLON 1000 MG,1000 mg,0.63
2561426.0,PAMEZONE 40mg x 28 CAP - ROEMMERS,42912,PAMEZONE 40,40 mg,0.62
2561961.0,FARMA D x 1000UI x 30CB,55353,FARMA D 5000 UI,5000 UI,0.68
2562433.0,DIOXAFLEX CB NF x 120CB,55148,DIOXAFLEX CB NF,50 mg,0.89
2562754.0,FARMA D X 5000UI x 30 CB,55353,FARMA D 5000 UI,5000 UI,0.72
2562861.0,EUKENE H 40/12.5mg CAJA x 30 COMPRIMIDOS,41351,EUKENE H 40/12.5,40 mg + 12.5 mg,0.64
2563012.0,NAN AE x 400gr,45507,DANOLEX 400,400 mg,0.64
2564768.0,CLARITROMICINA 500mg x 100 TAB - LABOGEN,2651,CLARITROMICINA,500 mg,0.64
2565240.0,PARADOLO EXTRA FORTE 500mg x 100TAB - LABOFAR,54928,PARADOLO EXTRA FORTE,500 mg + 150 mg,0.63
2566461.0,DOLOCORDRALAN INYECTABLE 75mg x 5 UNID.,56992,DOLOCORDRALAN EXTRA FORTE NF,50 mg + 50 mg + 50 mg + 0.25 mg,0.61
2566782.0,MAXIMUS PLUS CAJA x 32 TAB - HERSIL,58346,MAXIMUS PLUS NF,1500 mg + 10 mcg + 70 mg,0.64
2566889.0,CLARIMED 250mg/5ml SUSP x 60ml,40849,CLARIMED 250,250 mg/ 5 mL,0.69
2567896.0,ANTIFAZ + TAPONES,40315,SANA TOS,2 mg + 25 mg + 0.008 mL/ 5 mL,0.61
2569696.0,CARBIDOPA/LEVODOPA 25/250mg x 100TAB - MEDROCK,36855,CARBIDOPA + LEVODOPA,25 mg + 250 mg,0.67
